item_id	i_category	r_complement	r_substitute
2031	70	[1881, 2493, 1451, 3500, 2168, 2158, 1908, 1900, 2833, 2099, 3542, 1452, 1727, 2753, 2583, 5925, 2344, 1342, 3769, 2732, 3259, 2527, 1750, 1521, 3316, 3204, 2801, 2169, 2464, 2976, 2547, 2636, 2369, 1555, 1470, 2060, 3767, 1665, 2277, 3188, 2533, 6998, 3693, 1876, 1782, 1409, 1460, 1791, 2932, 3009, 3080, 6759, 1345, 2999, 1861, 2328, 2069, 2540, 1479, 3258, 4654, 2433, 2079, 3216, 2864, 3174, 2560, 2086, 1343, 2960, 1178, 3489, 2393, 2510, 2572, 2635, 3132, 2806, 1363, 2428, 2401, 2038, 1480, 1687, 3211]	[]
2042	28	[5301, 3348, 7119, 2734, 4263, 6338, 5622, 3073, 2041, 4805, 8239]	[]
2032	70	[1451, 2276, 3411, 10115, 3018, 1935, 1754, 2158, 3469, 7222, 3368, 1905, 3542, 4090, 2518, 2068, 2753, 5444, 1868, 5779, 5925, 2344, 1342, 2732, 8637, 3259, 4560, 2527, 8097, 1750, 3316, 3055, 3204, 2801, 2169, 2464, 3459, 2976, 7673, 2636, 2006, 2369, 2060, 7266, 4621, 2212, 2277, 6998, 6398, 1752, 3693, 1358, 1460, 1682, 2932, 2138, 5071, 1856, 2779, 3080, 3167, 1345, 2999, 1861, 2540, 2316, 3062, 2582, 3258, 3216, 2864, 3174, 2628, 2283, 2560, 2086, 3060, 1343, 2960, 2247, 3489, 2393, 2027, 2161, 2635, 1737, 2428, 2401, 2714, 1687, 3211, 3152, 1617]	[]
2035	46	[4175, 1091, 3500, 1663, 121, 642, 5299, 1628, 2720, 2601, 55, 251, 3340, 3390, 3070, 1533, 3921, 2282, 10665, 3654, 2324, 806, 1489, 578, 1130, 3610, 1199, 1607, 2751, 854, 2638, 1296, 3826, 2895, 1254, 2141, 3270, 1882, 5788, 8021, 1170, 1055, 3315, 2203, 6050, 2730, 3690, 2907, 3946, 2539, 2221, 6138, 1670, 2853, 2484, 3234, 3205, 4242, 1229, 3236, 6022, 2517, 2680, 3810, 2535, 2172, 1966, 1256, 3293, 1471, 979, 2320, 5043, 2334, 3221, 1241, 3033, 1652, 2204, 2367, 2483, 3079, 980, 4429, 3776, 1144, 3261, 2739, 2688, 1240, 2300, 4840, 1878, 1901]	[]
2043	28	[2736, 4545, 2939, 3838, 3829, 1641]	[]
2036	0	[2489, 3757, 6651, 3632, 4719]	[]
2044	0	[]	[3594, 8950, 780, 902, 172, 166]
2045	28	[]	[]
2046	28	[3686, 1609, 6019, 2545, 5128, 2845]	[]
2048	0	[3541, 2354, 3165, 1718, 1623, 927, 3246, 4104, 5739, 5246, 2274, 142, 2708, 261]	[]
2047	28	[]	[7210, 2240, 3686, 1271, 2595, 2430, 3496, 3176, 1776, 7493, 5911, 2659, 4571, 3211, 2544]
2049	46	[3500, 2309, 5768, 9009, 6050, 10430, 3768, 979, 1729, 3431, 1461, 2730, 2390, 6842, 10638, 102, 5367, 4967, 1241, 3222, 2080, 6138, 2310, 2751, 1215, 4968, 4940, 3304, 8746, 2780, 1889, 2889, 3340, 6890, 2746, 7887, 3719, 9269, 2680, 6419, 983, 4229, 4211, 1086, 3416, 1388, 1240, 9111, 9258, 6970, 6496]	[]
2050	45	[2918, 2603, 8021, 678, 844, 2127, 3241, 1891, 2534, 6050, 10430, 3768, 6284, 3399, 1461, 3846, 6232, 482, 5324, 785, 7597, 298, 251, 843, 937, 2076, 60, 4542, 787, 2756, 3307, 485, 959, 10034, 23, 2490, 8067, 2537, 4018, 4229, 786, 985, 5277, 4581, 35, 2438, 10665]	[]
2054	24	[2778, 1230, 2479, 432, 1825, 2875, 2411]	[]
2052	70	[7428, 3174, 1876, 2083, 3060, 2086, 2932, 2575, 1178, 8460, 1905, 6204, 2572, 3078, 3080, 3746, 2528, 1445, 9014, 1480, 3248, 5925, 6355, 1687, 2582, 3259]	[]
2051	46	[2029, 1312, 3500, 6354, 2329, 5525, 1686, 3030, 5322, 979, 7430, 3059, 1130, 2427, 5209, 2368, 237, 2575, 785, 5528, 3362, 2539, 2601, 4825, 6138, 10013, 4416, 2380, 3247, 4338, 4299, 3079, 3891, 3041, 1926, 3070, 1438, 1681, 2934, 4409, 1867, 5317, 3255, 3232, 1355, 3921, 3261, 3949, 1330, 2414, 8397, 1886, 2323, 1479, 9013, 3984, 2351, 2438, 1619, 2035, 2288, 5214, 3745, 3972, 4840, 3141, 5788]	[]
2059	46	[2029, 3500, 1723, 2530, 1198, 2652, 8410, 2827, 2549, 2601, 6838, 4057, 3317, 3041, 2404, 3070, 1867, 2266, 2246, 1516, 3921, 3203, 891, 2288, 3692, 3287, 3454, 2324, 3751, 2329, 1324, 1729, 2171, 2368, 1953, 1199, 1191, 3720, 2638, 2338, 1338, 2895, 2181, 2491, 1375, 2481, 2414, 1581, 3270, 5788, 2180, 2642, 3193, 3187, 2836, 3168, 3362, 2539, 2974, 6138, 4416, 3889, 2484, 4242, 3047, 812, 1355, 3296, 1479, 1159, 1256, 3198, 979, 2822, 2320, 1321, 3359, 2756, 2367, 3079, 3225, 980, 1926, 4593, 3260, 1800, 4403, 3723, 1240, 2438, 4840, 3215]	[]
2060	70	[1451, 3411, 3363, 1908, 6850, 10136, 4090, 1356, 3936, 1727, 2742, 2407, 2583, 8642, 2528, 1868, 5925, 2944, 1342, 2732, 3769, 3252, 3259, 3468, 1521, 2002, 3204, 3055, 2169, 2464, 3459, 2976, 2032, 3952, 2547, 1651, 2770, 2636, 3896, 8999, 2369, 5148, 1445, 3767, 3188, 2533, 1876, 1460, 2031, 1682, 2932, 4028, 4037, 3360, 1856, 3080, 5103, 2482, 1995, 1345, 2999, 2328, 2069, 2540, 2582, 4802, 2079, 3216, 2864, 3174, 2560, 2086, 5157, 2814, 3489, 2393, 2510, 2027, 3330, 2808, 2635, 3132, 2835, 2651, 2428, 1820, 3480, 1687, 3211, 3152]	[]
2053	27	[3367, 1827, 2349, 3399, 2576, 3206, 6371, 1884, 2793, 3201, 2723, 2073, 2330, 2001, 1781, 2745, 1635, 3262, 2503, 2291, 1563, 1478, 2343, 3926, 2244, 7022, 8, 2322, 1958, 3140, 2551]	[]
2055	25	[2631, 1879, 8153, 2970, 3134, 6168, 4981, 4142, 8560, 2253, 2056, 7348, 1396, 82, 4073, 91, 2969, 3381, 1674, 2667, 3968, 2912, 2866, 2028, 2025, 7065, 604, 2370, 10222, 1137, 3464, 1200, 8961, 2473, 3493, 1214, 1804, 4628, 8714, 1135, 9868, 788, 2336, 8948, 4336, 1483, 2154]	[]
2056	27	[2332, 3779, 9104, 3399, 2253, 1662, 7023, 1409, 3206, 1786, 2327, 5089, 2448, 1762, 3381, 2471, 7526, 1408, 2131, 10222, 2154, 1393, 6342, 137, 2473, 2803, 8961, 2503, 1486, 5625, 2456, 2252, 6631, 3687, 3297, 5505, 2381, 7022, 1162, 8, 1938, 2251, 2013, 3347, 1004, 8123, 9868, 3172, 3345, 10105, 8948, 2227, 10658, 2357]	[]
2057	27	[4378, 9104, 3399, 2253, 1662, 3206, 3636, 2327, 1786, 2056, 4241, 5089, 4073, 2805, 2448, 1762, 2531, 3381, 1941, 7065, 1408, 2131, 10222, 2370, 1393, 6342, 1137, 2473, 8961, 2803, 137, 2503, 1486, 5625, 2252, 6631, 5794, 3688, 3687, 5505, 7022, 1162, 8, 2740, 2626, 1004, 8123, 9868, 3172, 788, 2494, 1395, 4840, 8948, 2502, 10658, 4922, 2154]	[]
2063	70	[4880, 6998, 1451, 2883, 7718, 3693, 4932, 2383, 5322, 4110, 3904, 3897, 935, 3008, 1617, 1824, 2002, 1791, 2932, 1343, 2979, 6778, 8728, 937, 628, 10197, 2380, 1596, 204, 2860, 1473, 45, 1354, 911, 6042, 2572, 3019, 3049, 4756, 10196, 2484, 2635, 4150, 24, 9461, 3463, 3899, 7560, 2934, 2292, 2786, 1919, 111, 3521, 4755, 1445, 1325, 3410, 5925, 1687, 1359, 5489, 2249, 1772, 7667, 3259]	[]
2058	0	[980, 3723, 2438, 6138, 1284, 59, 1438, 4840, 4006]	[]
2064	70	[1881, 2276, 1351, 10115, 5771, 1908, 1381, 1900, 6860, 3800, 1452, 3199, 3049, 5079, 3581, 2753, 2343, 2583, 5925, 2344, 7970, 1342, 2732, 4600, 1957, 1686, 6589, 3008, 4661, 4659, 5816, 2807, 1393, 2636, 3896, 8999, 9054, 3767, 1616, 2212, 2277, 6998, 2083, 334, 7225, 2779, 2571, 1688, 3080, 4792, 3167, 4364, 2999, 3184, 3142, 3258, 2072, 3216, 2864, 2383, 2560, 4444, 3060, 2086, 1551, 1343, 2814, 2960, 1178, 2247, 2027, 1406, 2635, 2744, 2806, 6515, 1480, 1687, 3211, 1960]	[]
2062	0	[3415, 85, 3735, 5322, 2856, 3702, 979, 8410, 1524, 1771, 3791, 3406, 2113, 4868, 5173, 3442, 6436, 3996, 7352, 5321, 2640, 6138, 3076, 5877, 3832, 1925, 2762, 3609, 4299, 2338, 1176, 5409, 980, 4840, 2386, 1295, 5317, 3048, 1479, 2438, 4257, 1619, 6227, 2555, 3617, 2884]	[]
2061	25	[2631, 2493, 5426, 2132, 10261, 3299, 1968, 1297, 1904, 4176, 3383, 1535, 6809, 2370, 1231, 1785, 1179, 3494, 1249, 307, 3273, 1139, 501, 2108, 1367, 2520, 2675, 2473, 1230, 3499, 3688, 2701, 308, 1220, 1909, 1825, 2502, 8232, 4580, 2912, 3481, 2028, 2025, 1114, 2131, 1115, 1952, 1140, 4042, 2337, 3297, 1135, 1304, 1937, 2494, 320, 1483, 2150, 2777, 2259, 1879, 7177, 85, 4981, 1261, 2258, 2866, 2519, 2663, 1137, 3892, 1671, 1486, 8876, 3271, 2262, 1294, 2775, 2331, 2658, 2580, 2154]	[]
2065	46	[64, 1091, 213, 3500, 2534, 9009, 2335, 6426, 3045, 5367, 1970, 1628, 2772, 251, 2080, 10227, 3340, 1533, 7619, 3921, 3203, 1222, 113, 1169, 5768, 9925, 5358, 3610, 3222, 2319, 1978, 54, 2751, 3720, 1296, 3891, 2895, 2181, 1375, 1438, 9188, 951, 8608, 35, 2587, 1882, 8021, 1170, 1979, 2602, 2730, 3690, 3290, 2723, 1397, 10013, 986, 3304, 1973, 6342, 3697, 2853, 5987, 202, 3236, 2680, 3296, 2172, 2896, 582, 1969, 2100, 1471, 979, 5225, 2320, 2390, 2334, 2622, 298, 1241, 1634, 2367, 486, 980, 7629, 3776, 1240, 2438, 4840, 3215]	[]
2066	46	[2029, 3500, 2509, 3635, 3193, 8614, 2182, 3030, 2320, 2059, 2226, 3371, 2705, 2796, 1953, 2869, 915, 1680, 1281, 2469, 6838, 2287, 2817, 2559, 4338, 6250, 2637, 1338, 4840, 3398, 2749, 2746, 1681, 2266, 2246, 5392, 3488, 7287, 1783, 2943, 3692, 2752, 3369, 9475, 5645, 3270, 3141, 3039, 1611]	[]
2069	70	[1172, 1881, 2436, 1451, 4293, 3363, 1754, 2158, 1908, 1900, 2099, 4090, 5649, 3294, 3936, 6348, 5079, 1727, 2068, 2753, 2742, 2583, 3921, 1868, 8633, 5925, 1342, 1750, 8097, 2527, 1521, 5635, 3204, 2600, 3458, 1354, 1817, 2636, 2369, 2060, 1445, 7323, 3302, 1752, 1876, 1460, 2682, 3031, 1682, 5045, 2922, 5071, 1856, 2571, 1389, 4501, 3167, 3633, 2486, 7132, 1345, 2999, 3521, 4802, 2433, 2864, 3391, 6854, 2129, 2086, 2814, 2979, 4492, 3274, 2393, 2510, 2027, 2572, 2635, 3225, 2835, 4836, 4820, 3947, 2428, 1687, 3935, 2599]	[]
2067	46	[52, 1927, 2534, 5322, 2882, 979, 8410, 2320, 2730, 8478, 4633, 5985, 3996, 2539, 5051, 251, 6138, 2385, 5053, 3307, 959, 2338, 980, 5170, 3260, 2597, 5317, 5392, 2246, 2825, 2643, 2438, 2260, 2884, 3454]	[]
2071	0	[3135, 8021, 7008, 980, 833, 6138, 5275]	[]
2068	70	[2975, 1881, 2436, 2276, 1351, 2305, 2307, 2833, 2099, 1905, 3800, 4090, 1356, 3186, 3199, 2387, 3049, 2742, 3131, 2583, 1868, 5925, 1342, 2732, 2527, 8097, 1521, 2018, 3055, 3204, 2317, 2600, 3458, 2976, 2032, 1817, 2636, 6024, 3767, 2212, 2277, 2533, 3302, 3693, 1617, 2389, 1632, 1460, 1791, 2138, 1585, 1856, 2779, 1389, 3546, 3167, 1345, 2999, 1861, 3521, 2316, 3258, 2388, 2079, 3216, 6162, 2864, 1746, 2984, 2283, 2560, 3067, 2086, 3060, 1343, 2814, 2960, 1344, 1178, 3274, 3489, 2027, 2435, 2635, 2744, 3630, 1506, 1820, 2401, 1687, 3211, 3062]	[]
2070	46	[852, 3717, 3500, 2652, 2026, 1620, 1386, 1628, 9365, 3041, 1857, 3070, 7619, 3921, 2943, 2289, 1775, 1666, 3287, 3769, 3654, 1169, 3417, 3021, 2186, 2324, 1489, 5104, 2523, 1953, 4112, 854, 2016, 3720, 2638, 1338, 1254, 2141, 5788, 1286, 2180, 1998, 3315, 4912, 2443, 3946, 2221, 2539, 1670, 2342, 3889, 4299, 2853, 2484, 3205, 4242, 1229, 812, 4835, 1783, 2535, 3282, 2172, 2160, 3293, 2522, 1471, 3802, 5322, 979, 2059, 1894, 2334, 1913, 2205, 8877, 2198, 2204, 3359, 3247, 980, 1731, 3260, 2597, 1800, 3776, 1144, 1240, 2438, 3046]	[]
2072	70	[1881, 6189, 3065, 2223, 1351, 1620, 2064, 1754, 1386, 1381, 2099, 9363, 787, 1195, 2068, 3131, 5925, 4774, 1342, 2732, 3259, 3021, 1750, 1246, 1560, 3204, 6573, 2169, 2600, 3283, 2807, 1553, 2114, 1817, 3019, 7409, 3767, 2212, 3302, 1876, 2443, 1682, 2761, 1629, 6039, 1856, 2779, 7595, 3080, 2298, 2999, 1360, 3521, 2540, 3282, 2232, 4654, 2433, 1746, 2984, 2214, 8005, 3288, 2560, 2839, 2086, 1343, 2814, 10278, 1362, 2435, 2367, 2572, 2635, 2744, 2526, 2401, 66, 1687, 1960, 3062]	[]
2073	27	[2403, 3467, 3804, 2335, 1786, 2056, 3473, 1904, 3361, 1628, 2757, 1781, 2792, 3300, 3170, 2278, 2254, 1899, 2343, 8360, 3926, 1826, 7022, 8, 1405, 1994, 1790, 1958, 2432, 1392, 3529, 1396, 2793, 1762, 2024, 2330, 3192, 3464, 1596, 2592, 2030, 2503, 1871, 1478, 2208, 1725, 2794, 1841, 1496, 3718, 1882, 2551, 2332, 1631, 2997, 2253, 1873, 3206, 1409, 2805, 2723, 1397, 1906, 1408, 2650, 3388, 1955, 2494, 2008, 1720, 1827, 2881, 3399, 1407, 1662, 7023, 6371, 1495, 2829, 1634, 1406, 1740, 2173, 2291, 1486, 3365, 2078, 3197]	[]
2074	70	[1881, 2677, 6998, 4662, 3216, 1962, 4663, 2984, 2676, 1178, 5925, 4882, 9202, 1821, 3060]	[]
2075	70	[2533, 6998, 1750, 3693, 3018, 7696, 1543, 4918, 1791, 2814, 3866, 3199, 2808, 3132, 2482, 7043, 2835, 9457, 2428, 1166, 5925]	[]
2077	70	[7500, 1360, 1718, 3216, 1445, 2038, 5925, 9598, 3459, 4684, 142, 1342, 2086]	[]
2076	45	[64, 2918, 8021, 2127, 192, 44, 63, 1317, 5582, 2534, 1540, 484, 952, 3768, 114, 6284, 18, 3431, 37, 121, 38, 482, 10638, 2962, 4967, 785, 298, 842, 1672, 2885, 843, 59, 58, 227, 54, 361, 787, 110, 6678, 486, 183, 485, 959, 980, 3825, 3234, 2895, 3340, 202, 2050, 5197, 23, 359, 92, 320, 4229, 2356, 988, 1790, 1222, 35, 4581, 256, 487, 2691, 1163, 3972, 243, 1256, 4029, 10335]	[]
2079	70	[1881, 1451, 2284, 1351, 1891, 3363, 1381, 2833, 2099, 1905, 3800, 1356, 3186, 10298, 1727, 2068, 2747, 2583, 2528, 1868, 5925, 2729, 5167, 1342, 3259, 2412, 3869, 3376, 8097, 1521, 1560, 3204, 3319, 9031, 2317, 2600, 2976, 1817, 1888, 1572, 65, 1445, 3767, 2533, 3302, 1876, 1782, 1460, 2922, 2780, 3080, 3205, 202, 3167, 1345, 2999, 1360, 2328, 2249, 2316, 1256, 2388, 2433, 2883, 2864, 3174, 2628, 2086, 3060, 7597, 1343, 3306, 2814, 2960, 1178, 1344, 3489, 2572, 2759, 2635, 3132, 983, 2078, 1820, 1687, 1772, 1960, 3062]	[]
2080	46	[3500, 1723, 2530, 1198, 2534, 1663, 121, 2302, 5367, 4967, 2601, 251, 3185, 3390, 2746, 1518, 2130, 4128, 3921, 3203, 1956, 1388, 2691, 2065, 3287, 5768, 1729, 2269, 1323, 3222, 1199, 17, 2319, 2751, 854, 3720, 1296, 2813, 2338, 2895, 1375, 1438, 851, 5317, 65, 2414, 35, 108, 1339, 1798, 5788, 2642, 18, 2730, 3690, 1005, 4912, 2113, 2575, 2539, 1672, 6138, 1670, 2853, 1823, 3205, 202, 2731, 3236, 3296, 2896, 1163, 1256, 1471, 5322, 3768, 979, 2320, 5151, 1652, 2756, 2367, 980, 1295, 3355, 3776, 983, 2356, 2078, 1240, 2438, 1890, 4840, 4029, 3215]	[]
2078	27	[3804, 2335, 2804, 1786, 2056, 1904, 1628, 1781, 3300, 2254, 2343, 3926, 1826, 7022, 8, 8123, 3273, 1394, 1958, 2339, 2921, 1392, 2578, 3529, 1396, 1762, 2073, 2579, 2330, 3464, 1393, 2803, 2503, 1871, 1478, 2208, 1938, 1725, 2462, 108, 1841, 1882, 2551, 2228, 2253, 3206, 1873, 2805, 3381, 3201, 2723, 1397, 1408, 2131, 1902, 1688, 3205, 1443, 2252, 2244, 3346, 2740, 2494, 2593, 2888, 1720, 3367, 2881, 7023, 1662, 3399, 1407, 5151, 4640, 2531, 4944, 1634, 2829, 1511, 1406, 1740, 2291, 1721, 1486, 1804, 3365, 5505, 2280, 2013, 2322, 2626, 2227, 4922, 2154]	[]
2084	27	[3467, 3737, 2349, 1662, 3206, 1439, 5089, 1396, 1904, 3201, 2723, 3058, 1574, 2001, 1781, 1408, 1915, 2592, 2030, 2503, 3170, 2291, 1475, 6631, 1478, 1789, 2208, 2078, 2850, 3140, 1841, 2551]	[]
2081	46	[3500, 1723, 2530, 2652, 5243, 5209, 3858, 4967, 3077, 2601, 2080, 2762, 2641, 2246, 3921, 2487, 8397, 6228, 2288, 3287, 1736, 5133, 2856, 1524, 6203, 2226, 3059, 3765, 4825, 2640, 854, 2895, 8102, 1438, 3102, 2414, 3984, 5214, 3745, 3617, 2180, 2642, 5525, 4912, 4418, 2575, 7352, 2539, 6138, 4416, 4338, 4299, 3234, 4006, 1229, 1681, 229, 1355, 2677, 1479, 5210, 2172, 1312, 5322, 2059, 2705, 785, 5528, 8294, 3247, 1295, 3232, 3261, 3949, 3723, 2438, 2300, 4840, 4029, 3141]	[]
2083	70	[7428, 1881, 6998, 3216, 2883, 2284, 1723, 2305, 3174, 1876, 3018, 2052, 2064, 3904, 2560, 2822, 3211, 2086, 3204, 3060, 5212, 2932, 785, 1178, 8460, 2189, 2384, 2600, 3800, 7468, 10361, 2572, 3952, 3078, 3080, 2635, 7178, 3049, 2808, 8328, 2806, 2895, 3896, 10523, 2742, 2428, 1861, 2328, 3921, 2528, 1445, 9014, 1480, 3142, 8292, 5925, 3248, 1687, 1342, 2388, 2277, 3259]	[]
2082	25	[2132, 4981, 1297, 1570, 1593, 2866, 2028, 1137, 1231, 1230, 1179, 1898, 1249, 1135, 2758, 1283, 1237, 1220, 1238, 1483]	[]
2085	0	[3185, 1925, 766, 3685, 5987, 4840, 1374]	[]
2086	70	[4544, 10483, 10454, 7098, 7518, 1381, 7300, 3800, 4090, 5649, 8592, 9403, 5925, 10295, 9202, 1342, 2732, 4560, 1750, 2527, 9302, 6589, 8525, 4661, 2600, 6845, 6800, 2636, 6024, 8161, 4231, 5436, 1445, 3767, 2231, 6998, 5181, 3693, 1876, 8662, 8660, 4718, 9559, 9052, 7239, 2571, 3080, 4130, 3865, 8518, 3184, 2328, 2249, 5500, 3258, 2433, 2864, 2984, 2560, 10504, 6310, 7494, 5986, 1343, 2960, 3489, 10302, 2635, 3132, 6428, 7477, 4150, 6466, 7914, 2714, 1687, 1617]	[]
2087	28	[1723, 3652, 7454, 5004, 4575, 7402, 8321, 2601, 3277, 5558, 6174, 6072, 9246, 3496, 3042, 1271, 8899, 7558, 5624, 6866, 7076, 3176, 5911, 8132, 7791, 8878, 8147, 5333, 3093, 8966, 3549, 5442, 5777, 10189, 6867, 2423, 6309, 2231, 5150, 8587, 9106, 4096, 2604, 8528, 6444, 5762, 6908, 8389, 7698, 1567, 1213, 5001, 3813, 6432, 8162, 7072, 5642, 6214, 9310, 6108, 10113, 5995, 6429, 7493, 2765, 1127, 7036, 4896, 10232, 5254, 1, 5870, 5716, 5811, 7311, 3243, 3901, 3085, 2453, 5459, 9645, 5476, 5032, 8070]	[]
2089	28	[]	[5159, 1568, 10081, 7020, 2093, 9476, 10130, 1950, 9180, 9087, 7160, 818, 6872, 8091, 2217, 3434, 263, 9431, 10493, 10387, 10630, 5512, 2586, 9190, 8309, 7387, 8704, 10314, 6925, 8966, 10432, 8646, 5258, 10220, 5490, 8950, 10189, 6963, 210, 4190]
2088	28	[7402, 6867, 2423, 3313, 6529]	[]
2091	0	[]	[637, 1577, 1099, 8112, 6144, 10147, 2563, 9048, 7272]
2090	28	[]	[10611, 1028, 9825, 10594, 2335, 5385, 6504, 6494, 4444, 9826, 8605, 3852, 409, 6805, 3610, 5299, 8841, 3733, 5491, 6900, 10227, 10563, 7325, 1973, 896, 2853, 9129, 626, 202, 9284, 4185, 9246, 6623, 8650, 4982, 8899, 5777, 6048, 5698, 2231, 1772, 1256]
2092	28	[8373, 368, 2726, 2225, 3440, 5183, 769, 7674]	[]
2093	28	[6430, 4898, 3686, 6243, 3653, 7020, 8967, 3829, 4582, 2584, 2870, 1797, 8091, 3434, 2967, 8192, 5128, 3741, 7125, 1274, 5564, 3496, 10095, 9756, 4891, 4545, 6624, 8950, 4605, 5246, 5970, 4190]	[]
2094	25	[2255, 1139, 2014, 2259, 1879, 2132, 2913, 2970, 2417, 4981, 602, 82, 3122, 1367, 2969, 1138, 1674, 1598, 1816, 2912, 2866, 2028, 2025, 2106, 604, 2519, 7413, 2370, 6678, 1200, 1137, 2502, 2937, 1230, 3493, 3892, 1785, 2964, 1214, 2337, 1249, 1135, 307, 1937, 308, 788, 1909, 2336, 2061, 3562, 1483, 2154]	[]
2100	46	[4175, 6882, 10368, 1975, 5367, 6704, 3953, 2772, 3015, 6795, 10635, 787, 3340, 3220, 1893, 9124, 9391, 1222, 10665, 9938, 7302, 9930, 7817, 5768, 10574, 9296, 8755, 8705, 1296, 3782, 3826, 7887, 3479, 6369, 8362, 7162, 9258, 3219, 1170, 2754, 6234, 5447, 2664, 3946, 1897, 3944, 2298, 3639, 4673, 2537, 1742, 2680, 5397, 3669, 2740, 1468, 10353, 6692, 1966, 10126, 3931, 6661, 1471, 2711, 2127, 7423, 8129, 3846, 6232, 2334, 10638, 3221, 1241, 1751, 2136, 1469, 5296, 980, 3572, 10283, 959, 9269, 3776, 10131, 3678, 4840, 481, 10584, 3014]	[]
2098	70	[1881, 6998, 3065, 3216, 1855, 1750, 2305, 1521, 2283, 3018, 2560, 1662, 3060, 2086, 3204, 1343, 1766, 2960, 1178, 1675, 2922, 3489, 2169, 2464, 2801, 2600, 1905, 1856, 10302, 2976, 2635, 2744, 3019, 2582, 2068, 6024, 2742, 3066, 1345, 2999, 1820, 1836, 2222, 3767, 5925, 1947, 1342, 3258, 3062]	[]
2099	70	[1881, 1451, 1891, 6103, 3363, 6704, 2833, 1905, 8856, 1356, 3199, 5717, 1727, 2068, 2753, 2742, 2741, 2583, 2528, 5925, 1342, 2732, 3376, 8097, 3316, 6386, 3204, 2317, 2464, 6079, 2600, 3366, 6845, 2976, 1296, 1817, 3019, 2636, 6024, 1508, 2369, 6596, 6496, 2533, 3302, 6998, 3693, 1876, 1782, 1460, 8859, 4532, 4463, 1856, 3080, 202, 3865, 1345, 2999, 1861, 2328, 2582, 2388, 2079, 3216, 2864, 2984, 5147, 3067, 2086, 3060, 5157, 3306, 1343, 2814, 2960, 3489, 2510, 2027, 2572, 2635, 3132, 1506, 3863, 1480, 1687, 1772, 3152, 1617, 1901]	[]
2097	70	[1750, 2527, 3316, 2283, 3018, 1935, 2129, 1754, 2202, 2761, 2138, 2169, 3368, 1856, 2779, 1553, 2032, 2770, 2295, 2742, 1689, 2944, 2212, 2599]	[]
2108	0	[2631, 2132, 1297, 2633, 6323, 3383, 2370, 1231, 2257, 1785, 1179, 3494, 2326, 1249, 307, 2339, 3562, 2921, 1139, 2578, 1367, 427, 3530, 2473, 1230, 3493, 476, 1938, 2701, 308, 1220, 1909, 1825, 10639, 3857, 2061, 2502, 2255, 4093, 2970, 2580, 2625, 7283, 2667, 2912, 3481, 671, 2028, 2025, 3023, 824, 1952, 1332, 1898, 3649, 2337, 3129, 1135, 1937, 1483, 2150, 2777, 2259, 1879, 2629, 2417, 4981, 602, 1194, 91, 2898, 2258, 2866, 3024, 1137, 2937, 4287, 2775, 2626, 2658, 426, 81, 2154]	[]
2103	46	[2180, 2443, 213, 3041, 980, 1169, 2170, 1397, 9047, 5225, 364, 3412, 4242, 31, 1254, 8410, 4840, 3776]	[]
2104	0	[1720, 1827, 3529, 1407, 1662, 3399, 3206, 1786, 2327, 1409, 5089, 1177, 2805, 6612, 4944, 2471, 9340, 1408, 2242, 1393, 2503, 6631, 5794, 2381, 7022, 8, 2013, 3347, 2626, 8123, 3345, 388, 2227, 3718]	[]
2102	46	[2509, 1736, 2768, 1291, 3030, 3371, 2698, 1953, 3725, 3378, 2287, 2817, 2638, 2325, 4593, 3047, 4364, 7287, 1171, 3203, 3039, 2546, 2172, 2160, 5645, 2559, 1611]	[]
2101	46	[8021, 3923, 1723, 3193, 1736, 1686, 2026, 3543, 3406, 5041, 1912, 2539, 977, 1292, 914, 1996, 1406, 3891, 1536, 6946, 3208, 23, 3232, 1229, 3260, 1800, 2246, 1516, 3261, 2739, 2341, 2438, 1765]	[]
2107	0	[6790, 1137, 1139, 7476, 1367, 1892, 3892, 1230, 1785, 2912, 2866, 828, 4981, 788, 9341, 2326, 4440, 2370]	[]
2106	0	[2255, 2150, 2631, 1879, 2259, 2132, 6150, 2913, 3134, 2417, 4142, 4981, 5600, 5620, 1968, 5485, 4094, 8129, 7439, 6323, 6802, 1367, 3968, 2969, 2258, 2912, 3651, 2028, 3481, 2025, 3530, 1114, 3024, 5534, 2370, 1115, 1200, 1231, 2502, 4884, 2937, 3493, 1230, 1948, 6170, 1785, 1626, 3499, 1671, 3494, 2094, 6308, 4297, 2337, 6013, 1249, 3344, 1584, 1135, 5897, 2701, 2740, 1937, 2658, 1909, 6990, 3562, 1483, 2154]	[]
2096	70	[3080, 3924, 9415, 1616, 6024, 2560, 3258, 4661, 8834, 2086]	[]
2095	0	[2631, 2259, 1879, 1593, 1230, 2257, 1840, 2866, 4981, 1288, 2655, 1594, 489, 1135]	[]
2109	27	[2849, 1177, 1938, 1662]	[]
